Date,Open,High,Low,Close
2018.01.02 00:00,1.35009,1.35009,1.35008,1.35008
2018.01.02 00:01,1.34869,1.35053,1.34862,1.35053
2018.01.02 00:02,1.35065,1.35065,1.34939,1.34979
2018.01.02 00:03,1.34979,1.34993,1.34939,1.34979
2018.01.02 00:04,1.34984,1.35002,1.34939,1.35
2018.01.02 00:05,1.35,1.3501,1.34939,1.3498
2018.01.02 00:06,1.3498,1.35012,1.3498,1.35012
2018.01.02 00:07,1.35012,1.35013,1.34882,1.35013
2018.01.02 00:08,1.35013,1.35016,1.3501,1.35015
2018.01.02 00:09,1.35015,1.35016,1.35014,1.35016
2018.01.02 00:10,1.35016,1.35016,1.35013,1.35013
2018.01.02 00:11,1.35013,1.35066,1.35011,1.35066
2018.01.02 00:12,1.35066,1.35067,1.35017,1.35018
2018.01.02 00:13,1.35015,1.35015,1.34992,1.34993
2018.01.02 00:14,1.34993,1.34998,1.34993,1.34996
2018.01.02 00:15,1.34996,1.35082,1.34996,1.35052
2018.01.02 00:16,1.35051,1.35052,1.35051,1.35052
2018.01.02 00:17,1.35052,1.35052,1.35011,1.35028
2018.01.02 00:18,1.35027,1.35027,1.35011,1.35011
2018.01.02 00:19,1.35007,1.35057,1.34939,1.35057
2018.01.02 00:20,1.35053,1.35063,1.35053,1.35063
2018.01.02 00:21,1.35028,1.35055,1.35006,1.35055
2018.01.02 00:22,1.35052,1.35062,1.34939,1.35011
2018.01.02 00:23,1.35011,1.35052,1.35008,1.35052
2018.01.02 00:24,1.35052,1.35064,1.35009,1.35052
2018.01.02 00:25,1.35052,1.35052,1.34999,1.35052
2018.01.02 00:26,1.35052,1.35052,1.35011,1.35011
2018.01.02 00:27,1.35011,1.35056,1.35006,1.35052
2018.01.02 00:28,1.35052,1.35052,1.35007,1.35016
2018.01.02 00:29,1.35016,1.3503,1.34974,1.34974
2018.01.02 00:30,1.34974,1.35057,1.34968,1.35057
2018.01.02 00:31,1.35057,1.35057,1.35001,1.35008
2018.01.02 00:32,1.35008,1.35061,1.35008,1.35061
2018.01.02 00:33,1.35061,1.35061,1.35014,1.35042
2018.01.02 00:34,1.35042,1.35064,1.35005,1.35064
2018.01.02 00:35,1.35064,1.35073,1.35014,1.35073
2018.01.02 00:36,1.35073,1.35122,1.35073,1.35122
2018.01.02 00:37,1.35073,1.35073,1.35021,1.35021
2018.01.02 00:38,1.35021,1.35122,1.35005,1.35121
2018.01.02 00:39,1.35121,1.35126,1.35111,1.35126
2018.01.02 00:40,1.35126,1.35126,1.35011,1.35011
2018.01.02 00:41,1.35011,1.35037,1.35011,1.35037
2018.01.02 00:42,1.35037,1.35057,1.35014,1.35014
2018.01.02 00:43,1.35008,1.35021,1.35008,1.35011
2018.01.02 00:44,1.35011,1.35019,1.35011,1.35017
2018.01.02 00:45,1.35017,1.35258,1.35017,1.3516
2018.01.02 00:46,1.35123,1.35123,1.35015,1.35031
2018.01.02 00:47,1.35015,1.35122,1.35004,1.35004
2018.01.02 00:48,1.35004,1.35013,1.3489,1.34961
2018.01.02 00:49,1.34962,1.34962,1.34915,1.34921
2018.01.02 00:50,1.34921,1.35122,1.34921,1.35121
2018.01.02 00:51,1.35121,1.35131,1.35051,1.35131
2018.01.02 00:52,1.35131,1.35131,1.34972,1.35122
2018.01.02 00:53,1.35122,1.35122,1.3505,1.35052
2018.01.02 00:54,1.35052,1.35129,1.3505,1.35129
2018.01.02 00:55,1.35129,1.35129,1.35129,1.35129
2018.01.02 00:56,1.35129,1.35129,1.35054,1.35129
2018.01.02 00:57,1.35129,1.35166,1.35129,1.35165
2018.01.02 00:58,1.35165,1.35165,1.35101,1.35162
2018.01.02 00:59,1.35162,1.35189,1.35104,1.35104
2018.01.02 01:00,1.35104,1.35133,1.35062,1.35121
2018.01.02 01:01,1.35121,1.3514,1.3511,1.35111
2018.01.02 01:02,1.35111,1.3514,1.3511,1.35119
2018.01.02 01:03,1.35119,1.35131,1.35101,1.35117
2018.01.02 01:04,1.35117,1.35123,1.3511,1.3511
2018.01.02 01:05,1.3511,1.35123,1.35048,1.35068
2018.01.02 01:06,1.35078,1.35106,1.35042,1.351
2018.01.02 01:07,1.35104,1.35117,1.35095,1.35108
2018.01.02 01:08,1.35108,1.35138,1.35088,1.35105
2018.01.02 01:09,1.35105,1.3511,1.35086,1.3511
2018.01.02 01:10,1.3511,1.35129,1.35094,1.3512
2018.01.02 01:11,1.3512,1.35122,1.35099,1.35108
2018.01.02 01:12,1.35099,1.35122,1.35092,1.35122
2018.01.02 01:13,1.35123,1.35148,1.35121,1.35148
2018.01.02 01:14,1.35148,1.35191,1.35142,1.35178
2018.01.02 01:15,1.35178,1.35178,1.35149,1.3515
2018.01.02 01:16,1.35151,1.35176,1.35149,1.35176
2018.01.02 01:17,1.35176,1.35176,1.35109,1.35116
2018.01.02 01:18,1.35116,1.35125,1.35114,1.35124
2018.01.02 01:19,1.35124,1.35148,1.35115,1.35145
2018.01.02 01:20,1.35145,1.35159,1.35128,1.3515
2018.01.02 01:21,1.35152,1.3516,1.35138,1.35142
2018.01.02 01:22,1.35142,1.35163,1.35125,1.35162
2018.01.02 01:23,1.35162,1.35175,1.35123,1.35168
2018.01.02 01:24,1.35168,1.35175,1.35144,1.35153
2018.01.02 01:25,1.35153,1.35155,1.35138,1.35141
2018.01.02 01:26,1.35141,1.35142,1.35139,1.35141
2018.01.02 01:27,1.35143,1.35156,1.35141,1.35142
2018.01.02 01:28,1.35141,1.35174,1.35128,1.3516
2018.01.02 01:29,1.3516,1.35171,1.3516,1.35171
2018.01.02 01:30,1.35171,1.35175,1.35168,1.35171
2018.01.02 01:31,1.35171,1.3518,1.35156,1.35162
2018.01.02 01:32,1.35162,1.3518,1.3516,1.3517
2018.01.02 01:33,1.3517,1.35176,1.35126,1.35137
2018.01.02 01:34,1.35139,1.35158,1.35117,1.35149
2018.01.02 01:35,1.35152,1.35152,1.35123,1.35128
2018.01.02 01:36,1.35128,1.35138,1.35123,1.3513
2018.01.02 01:37,1.3513,1.35131,1.35115,1.35117
2018.01.02 01:38,1.35117,1.3512,1.35112,1.35119
2018.01.02 01:39,1.35119,1.35133,1.35117,1.35129
2018.01.02 01:40,1.35129,1.35139,1.35112,1.35112
2018.01.02 01:41,1.35112,1.3513,1.35112,1.35125
2018.01.02 01:42,1.35125,1.35138,1.35124,1.35133
2018.01.02 01:43,1.35133,1.35133,1.35117,1.35119
2018.01.02 01:44,1.35119,1.35133,1.35118,1.35132
2018.01.02 01:45,1.35132,1.35149,1.35132,1.35147
2018.01.02 01:46,1.35149,1.35149,1.35131,1.35132
2018.01.02 01:47,1.35132,1.35135,1.35128,1.35132
2018.01.02 01:48,1.35132,1.35135,1.35129,1.35129
2018.01.02 01:49,1.35129,1.35129,1.35111,1.35111
2018.01.02 01:50,1.35111,1.35122,1.35111,1.35111
